# FLEXIBILITY PARAMETER SCAN
# FBA model ../../ModelFiles/ecFBA/reducedEcYeast_modified_withDamage.mat
# parsimonious solution false
# Boolean model ../../ModelFiles/Boolean/rules.txt, ../../ModelFiles/Boolean/species.txt
# TF layer ../../ModelFiles/Boolean/TFtargets.txt
# basal damage formation f0 = 0.0001
# basal damage repair r0 = 0.0005
objective	flexibility 1	flexibility 2	regulation factor	rls	average generation time	time phase 1	rls phase 1	damage phase 1	time phase 2	rls phase 2	damage phase 2	time phase 3	rls phase 3	damage phase 3	status
ATPProduction (MAX)	0.05	0.05	0.0	0	0.0	99.9999999999986	0.0	0.005194443555525576	0.0	0.0	NaN	0.0	0.0	NaN	alive
ATPProduction (MAX) + growth (MAX)	0.05	0.05	0.0	8	2.3428571428571376	19.80000000000001	8.0	0.2530926425106137	0.0	0.0	NaN	0.0	0.0	NaN	dead (regular)
ATPProduction (MAX) + glucoseUptake (MIN)	0.05	0.05	0.0	0	0.0	99.9999999999986	0.0	0.005197626195835195	0.0	0.0	NaN	0.0	0.0	NaN	alive
ATPProduction (MAX) + NADHProduction (MIN)	0.05	0.05	0.0	1	NaN	99.9999999999986	1.0	0.006115825924649143	0.0	0.0	NaN	0.0	0.0	NaN	alive
ATPProduction (MAX) + NGAM (MAX)	0.05	0.05	0.0	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
ATPProduction (MAX)	0.05	0.05	0.02	1	NaN	99.9999999999986	1.0	0.005760641184865306	0.0	0.0	NaN	0.0	0.0	NaN	alive
ATPProduction (MAX) + growth (MAX)	0.05	0.05	0.02	8	2.28571428571428	19.70000000000001	8.0	0.25899407747934683	0.0	0.0	NaN	0.0	0.0	NaN	dead (regular)
ATPProduction (MAX) + glucoseUptake (MIN)	0.05	0.05	0.02	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
ATPProduction (MAX) + NADHProduction (MIN)	0.05	0.05	0.02	1	NaN	99.9999999999986	1.0	0.006094962875052632	0.0	0.0	NaN	0.0	0.0	NaN	alive
ATPProduction (MAX) + NGAM (MAX)	0.05	0.05	0.02	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
ATPProduction (MAX)	0.05	0.05	0.04	2	47.2000000000004	99.9999999999986	2.0	0.006556306062964762	0.0	0.0	NaN	0.0	0.0	NaN	alive
ATPProduction (MAX) + growth (MAX)	0.05	0.05	0.04	8	2.3857142857142812	19.80000000000001	8.0	0.24638752973629707	0.0	0.0	NaN	0.0	0.0	NaN	dead (regular)
ATPProduction (MAX) + glucoseUptake (MIN)	0.05	0.05	0.04	1	NaN	99.9999999999986	1.0	0.005686473541402735	0.0	0.0	NaN	0.0	0.0	NaN	alive
ATPProduction (MAX) + NADHProduction (MIN)	0.05	0.05	0.04	1	NaN	99.9999999999986	1.0	0.006294610070216932	0.0	0.0	NaN	0.0	0.0	NaN	alive
ATPProduction (MAX) + NGAM (MAX)	0.05	0.05	0.04	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
ATPProduction (MAX)	0.1	0.05	0.0	0	0.0	99.9999999999986	0.0	0.005194009497322536	0.0	0.0	NaN	0.0	0.0	NaN	alive
ATPProduction (MAX) + growth (MAX)	0.1	0.05	0.0	6	1.5999999999999974	8.099999999999987	5.0	0.21290410095294715	4.5	1.0	0.2762977828249554	0.0	0.0	NaN	dead (regular)
ATPProduction (MAX) + glucoseUptake (MIN)	0.1	0.05	0.0	0	0.0	99.9999999999986	0.0	0.005194009497322423	0.0	0.0	NaN	0.0	0.0	NaN	alive
ATPProduction (MAX) + NADHProduction (MIN)	0.1	0.05	0.0	1	NaN	99.9999999999986	1.0	0.006065582050972457	0.0	0.0	NaN	0.0	0.0	NaN	alive
ATPProduction (MAX) + NGAM (MAX)	0.1	0.05	0.0	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
ATPProduction (MAX)	0.1	0.05	0.02	2	47.3000000000004	99.9999999999986	2.0	0.006575917127730712	0.0	0.0	NaN	0.0	0.0	NaN	alive
ATPProduction (MAX) + growth (MAX)	0.1	0.05	0.02	6	1.5399999999999978	7.799999999999988	5.0	0.18715562045404383	2.800000000000001	1.0	0.24306120130033648	0.0	0.0	NaN	dead (regular)
ATPProduction (MAX) + glucoseUptake (MIN)	0.1	0.05	0.02	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
ATPProduction (MAX) + NADHProduction (MIN)	0.1	0.05	0.02	1	NaN	99.9999999999986	1.0	0.006111385949494934	0.0	0.0	NaN	0.0	0.0	NaN	alive
ATPProduction (MAX) + NGAM (MAX)	0.1	0.05	0.02	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
ATPProduction (MAX)	0.1	0.05	0.04	4	23.50000000000009	99.9999999999986	4.0	0.008716998992392661	0.0	0.0	NaN	0.0	0.0	NaN	alive
ATPProduction (MAX) + growth (MAX)	0.1	0.05	0.04	7	1.7333333333333298	10.499999999999979	6.0	0.21713087351690452	5.099999999999998	1.0	0.2817122229987011	0.0	0.0	NaN	dead (regular)
ATPProduction (MAX) + glucoseUptake (MIN)	0.1	0.05	0.04	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
ATPProduction (MAX) + NADHProduction (MIN)	0.1	0.05	0.04	2	76.39999999999993	99.9999999999986	2.0	0.008234688731752527	0.0	0.0	NaN	0.0	0.0	NaN	alive
ATPProduction (MAX) + NGAM (MAX)	0.1	0.05	0.04	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
ATPProduction (MAX)	0.15	0.05	0.0	0	0.0	99.9999999999986	0.0	0.005194009497330227	0.0	0.0	NaN	0.0	0.0	NaN	alive
ATPProduction (MAX) + growth (MAX)	0.15	0.05	0.0	6	1.2799999999999987	6.499999999999993	5.0	0.18025854077377618	2.3000000000000007	1.0	0.2341503873570314	0.0	0.0	NaN	dead (regular)
ATPProduction (MAX) + glucoseUptake (MIN)	0.15	0.05	0.0	0	0.0	99.9999999999986	0.0	0.005194009497322423	0.0	0.0	NaN	0.0	0.0	NaN	alive
ATPProduction (MAX) + NADHProduction (MIN)	0.15	0.05	0.0	1	NaN	99.9999999999986	1.0	0.00611076363622859	0.0	0.0	NaN	0.0	0.0	NaN	alive
