# FLEXIBILITY PARAMETER SCAN
# FBA model ../../ModelFiles/ecFBA/reducedEcYeast_modified_withDamage.mat
# parsimonious solution true
# Boolean model ../../ModelFiles/Boolean/rules.txt, ../../ModelFiles/Boolean/species.txt
# TF layer ../../ModelFiles/Boolean/TFtargets.txt
# basal damage formation f0 = 0.0001
# basal damage repair r0 = 0.0005
objective	flexibility 1	flexibility 2	regulation factor	rls	average generation time	time phase 1	rls phase 1	damage phase 1	time phase 2	rls phase 2	damage phase 2	time phase 3	rls phase 3	damage phase 3	status
NGAM (MAX)	0.05	0.05	0.0	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NGAM (MAX) + growth (MAX)	0.05	0.05	0.0	23	3.104545454545473	43.80000000000035	15.0	0.02879558848877594	29.50000000000015	8.0	0.23559005165612518	0.0	0.0	NaN	dead (regular)
NGAM (MAX) + glucoseUptake (MIN)	0.05	0.05	0.0	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NGAM (MAX) + ATPProduction (MAX)	0.05	0.05	0.0	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NGAM (MAX) + ATPProduction (MIN)	0.05	0.05	0.0	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NGAM (MAX) + NADHProduction (MIN)	0.05	0.05	0.0	22	4.128571428571398	49.80000000000044	13.0	0.021981621748204005	43.900000000000354	9.0	0.2353926752752642	0.0	0.0	NaN	dead (regular)
NGAM (MAX)	0.05	0.05	0.02	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NGAM (MAX) + growth (MAX)	0.05	0.05	0.02	23	3.1409090909091066	41.60000000000032	14.0	0.02223770571787238	32.60000000000019	9.0	0.23739786559577447	0.0	0.0	NaN	dead (regular)
NGAM (MAX) + glucoseUptake (MIN)	0.05	0.05	0.02	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NGAM (MAX) + ATPProduction (MAX)	0.05	0.05	0.02	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
