# FLEXIBILITY PARAMETER SCAN
# FBA model ../../ModelFiles/ecFBA/reducedEcYeast_modified_withDamage.mat
# parsimonious solution false
# Boolean model ../../ModelFiles/Boolean/rules.txt, ../../ModelFiles/Boolean/species.txt
# TF layer ../../ModelFiles/Boolean/TFtargets.txt
# basal damage formation f0 = 0.0001
# basal damage repair r0 = 0.0005
objective	flexibility 1	flexibility 2	regulation factor	rls	average generation time	time phase 1	rls phase 1	damage phase 1	time phase 2	rls phase 2	damage phase 2	time phase 3	rls phase 3	damage phase 3	status
growth (MAX)	0.05	0.05	0.0	12	1.327272727272724	9.89999999999998	8.0	0.07871618375117226	8.399999999999986	4.0	0.2625982505118822	0.0	0.0	NaN	dead (regular)
growth (MAX) + glucoseUptake (MIN)	0.05	0.05	0.0	4	1.2000000000000006	2.700000000000001	2.0	0.08181619658913304	3.3000000000000016	2.0	0.2281950432986307	0.0	0.0	NaN	dead (regular)
growth (MAX) + ATPProduction (MIN)	0.05	0.05	0.0	4	1.3666666666666671	1.8000000000000005	1.0	0.07848948789934386	6.699999999999992	3.0	0.27023186522565423	0.0	0.0	NaN	dead (regular)
growth (MAX) + ATPProduction (MAX)	0.05	0.05	0.0	6	1.4399999999999982	2.2000000000000006	2.0	0.08069134689057703	7.999999999999988	4.0	0.24547935669820375	0.0	0.0	NaN	dead (regular)
growth (MAX) + NADHProduction (MIN)	0.05	0.05	0.0	11	1.4399999999999964	8.999999999999984	7.0	0.09645027105355299	10.09999999999998	4.0	0.27462717284649263	0.0	0.0	NaN	dead (regular)
growth (MAX) + NGAM (MAX)	0.05	0.05	0.0	26	1.3600000000000085	29.100000000000144	22.0	0.08511325574795196	7.799999999999988	4.0	0.24262601600126554	0.0	0.0	NaN	dead (regular)
growth (MAX)	0.05	0.05	0.02	15	1.292857142857142	14.599999999999964	11.0	0.076571996228176	6.299999999999994	4.0	0.23963755819513577	0.0	0.0	NaN	dead (regular)
growth (MAX) + glucoseUptake (MIN)	0.05	0.05	0.02	5	1.2499999999999996	3.700000000000002	3.0	0.08441374339147534	3.800000000000002	2.0	0.2292037872087574	0.0	0.0	NaN	dead (regular)
growth (MAX) + ATPProduction (MIN)	0.05	0.05	0.02	4	1.3000000000000007	2.1000000000000005	1.0	0.08178862234157348	4.699999999999999	3.0	0.2403049674988132	0.0	0.0	NaN	dead (regular)
growth (MAX) + ATPProduction (MAX)	0.05	0.05	0.02	6	1.3799999999999983	3.5000000000000018	2.0	0.07822765032100583	5.899999999999995	4.0	0.22853397848804732	0.0	0.0	NaN	dead (regular)
growth (MAX) + NADHProduction (MIN)	0.05	0.05	0.02	9	1.4499999999999968	6.299999999999994	5.0	0.09469485454465197	9.599999999999982	4.0	0.269693029827614	0.0	0.0	NaN	dead (regular)
growth (MAX) + NGAM (MAX)	0.05	0.05	0.02	26	1.3600000000000085	29.100000000000144	22.0	0.08511325574795196	7.799999999999988	4.0	0.24262601600126554	0.0	0.0	NaN	dead (regular)
